ID респондента,Яндекс Еда_интегральная оценка,Самокат_интегральная оценка,Delivery Club_интегральная оценка,Купер_интегральная оценка,Ozon Fresh_интегральная оценка
R001,7.333333333333333,8.0,7.0,6.333333333333333,6.333333333333333
R002,8.0,7.333333333333333,7.333333333333333,5.333333333333333,7.333333333333333
R003,6.666666666666667,7.666666666666667,7.0,6.666666666666667,8.333333333333334
R004,7.333333333333333,8.666666666666666,8.0,7.666666666666667,7.666666666666667
R005,7.0,7.666666666666667,6.333333333333333,7.333333333333333,8.0
R006,8.333333333333334,7.666666666666667,6.666666666666667,7.333333333333333,5.666666666666667
R007,7.666666666666667,7.0,7.333333333333333,7.0,5.666666666666667
R008,7.666666666666667,7.333333333333333,7.0,7.333333333333333,7.0
R009,7.333333333333333,7.0,5.0,7.0,7.333333333333333
R010,8.333333333333334,7.333333333333333,4.333333333333333,7.0,7.333333333333333
R011,7.333333333333333,7.333333333333333,5.666666666666667,5.666666666666667,7.333333333333333
R012,7.333333333333333,7.666666666666667,5.666666666666667,6.666666666666667,6.333333333333333
R013,5.666666666666667,8.0,7.0,7.666666666666667,7.0
R014,8.0,7.666666666666667,7.0,7.0,5.333333333333333
R015,6.666666666666667,7.333333333333333,7.666666666666667,6.333333333333333,8.0
R016,8.0,7.333333333333333,7.333333333333333,8.0,5.666666666666667
R017,6.0,8.333333333333334,7.333333333333333,7.333333333333333,7.333333333333333
R018,7.333333333333333,7.666666666666667,7.333333333333333,6.333333333333333,6.666666666666667
R019,7.0,8.666666666666666,7.0,7.333333333333333,8.0
R020,6.666666666666667,6.333333333333333,6.666666666666667,6.666666666666667,7.0
R021,6.666666666666667,7.666666666666667,6.333333333333333,7.666666666666667,5.666666666666667
R022,7.333333333333333,7.333333333333333,5.666666666666667,7.666666666666667,6.0
R023,7.0,7.333333333333333,7.666666666666667,5.333333333333333,7.0
R024,8.333333333333334,7.333333333333333,7.0,6.666666666666667,7.666666666666667
R025,7.0,6.333333333333333,7.666666666666667,7.333333333333333,6.666666666666667
R026,8.333333333333334,7.0,8.333333333333334,6.333333333333333,6.333333333333333
R027,6.333333333333333,6.666666666666667,6.666666666666667,7.666666666666667,7.0
R028,7.333333333333333,7.333333333333333,7.0,7.333333333333333,6.666666666666667
R029,7.0,7.0,7.666666666666667,6.666666666666667,6.333333333333333
R030,6.666666666666667,7.333333333333333,6.666666666666667,5.0,6.333333333333333
R031,7.0,7.666666666666667,6.0,6.666666666666667,6.666666666666667
R032,8.0,8.666666666666666,7.333333333333333,6.333333333333333,8.333333333333334
R033,8.333333333333334,7.0,5.0,6.333333333333333,7.333333333333333
R034,7.666666666666667,7.666666666666667,7.333333333333333,7.0,7.0
R035,8.0,9.0,8.333333333333334,7.0,8.666666666666666
R036,8.0,7.666666666666667,6.666666666666667,6.333333333333333,6.666666666666667
R037,7.666666666666667,8.0,7.0,7.0,6.333333333333333
R038,7.666666666666667,7.333333333333333,7.666666666666667,7.0,8.333333333333334
R039,6.333333333333333,8.333333333333334,5.666666666666667,7.0,7.0
R040,6.333333333333333,7.666666666666667,7.0,7.333333333333333,5.333333333333333
R041,6.666666666666667,6.666666666666667,7.333333333333333,6.333333333333333,7.0
R042,7.333333333333333,8.0,6.333333333333333,6.0,6.333333333333333
R043,8.666666666666666,8.333333333333334,7.666666666666667,7.0,7.0
R044,7.666666666666667,6.666666666666667,6.666666666666667,7.0,6.333333333333333
R045,6.333333333333333,7.666666666666667,7.0,7.333333333333333,6.333333333333333
R046,7.0,6.666666666666667,7.666666666666667,7.333333333333333,7.0
R047,7.333333333333333,8.0,7.333333333333333,8.333333333333334,6.666666666666667
R048,7.333333333333333,8.333333333333334,8.0,6.666666666666667,7.0
R049,8.0,8.0,7.666666666666667,6.666666666666667,8.333333333333334
R050,6.666666666666667,7.333333333333333,7.333333333333333,6.0,6.666666666666667
R051,7.0,6.666666666666667,7.666666666666667,6.666666666666667,7.333333333333333
R052,8.333333333333334,8.666666666666666,6.0,5.666666666666667,7.666666666666667
R053,8.333333333333334,6.666666666666667,6.666666666666667,7.0,6.666666666666667
R054,7.0,8.666666666666666,7.666666666666667,6.0,7.333333333333333
R055,8.0,7.666666666666667,7.0,7.333333333333333,7.666666666666667
R056,7.666666666666667,8.0,7.333333333333333,8.0,7.0
R057,7.333333333333333,7.666666666666667,7.0,7.333333333333333,5.333333333333333
R058,8.0,9.0,7.666666666666667,7.0,7.333333333333333
R059,7.333333333333333,6.666666666666667,7.333333333333333,7.333333333333333,7.666666666666667
R060,7.0,6.666666666666667,7.666666666666667,6.0,5.0
